ACC_X,ACC_Y,ACC_Z,GY_X,GY_Y,GY_Z
510,-785,15053,-937,-301,-313
765,-1092,14790,-949,-405,-407
510,-602,14806,-877,-315,-349
765,-339,14798,-973,-385,-355
255,-351,15085,-913,-295,-339
196,48,14583,-921,-363,-371
-347,-686,14073,-965,-321,-335
40,-829,15101,-1013,-355,-361
-514,-295,14806,-925,-263,-383
1020,-750,14790,-921,-357,-341
765,-1244,15053,-961,-391,-341
510,-562,15053,-977,-369,-329
765,-1148,14280,-933,-261,-319
255,-1236,14838,-977,-301,-321
1020,-762,15061,-993,-323,-343
510,-582,14535,-961,-295,-361
196,255,15069,-1009,-335,-401
765,510,14790,-893,-303,-339
765,-479,14332,-921,-315,-361
255,-367,15324,-969,-353,-367
200,-865,14838,-925,1,-383
-399,-762,15053,-1013,-315,-377
765,-1108,14830,-861,-329,-327
244,-263,15077,-933,-343,-337
-511,48,14332,-941,-319,-355
765,-530,14806,-957,-289,-349
255,128,14583,-965,-351,-323
216,-511,14814,-933,-297,-399
255,-511,15069,-865,-377,-351
1279,-483,14806,-909,-305,-297
255,-343,14838,-845,-421,-341
255,-1260,14814,-917,-281,-339
255,-1260,14814,-917,-281,-375
-283,-483,14814,-1028,-341,-375
-443,-522,14559,-905,6,-353
255,-758,15061,-957,-321,-351
255,-813,14846,-917,-315,-347
765,-534,14535,-977,-389,-371
510,-686,14798,-1009,-371,-333
255,-347,15316,-913,-357,-415
510,-690,14575,-949,-325,-375
255,-1028,14591,-953,-327,-347
255,-857,14591,-917,-339,-377
510,244,14838,-985,-265,-371
765,68,14284,-937,-283,-323
255,-1148,14838,-929,-315,-299
1020,-654,14575,-897,-367,-323
255,-1132,14559,-993,-353,-409
255,136,14583,-1026,13,-357
255,-1212,15053,-893,-323,-321
1020,-431,14559,-909,-297,-365
255,-1100,14846,-997,-295,-339
-586,-1068,14551,-817,-333,-357
510,220,15085,-933,-327,-355
765,-937,14045,-1005,-293,-315
80,-618,14814,-917,-319,-331
765,510,14280,-861,-335,-341
765,-626,14332,-889,-427,-359
156,-845,14535,-961,-315,-297
510,-455,14591,-921,-357,-265
-917,-574,15093,-937,-383,-369
120,-833,14583,-961,-327,-367
510,-1132,14535,-889,-393,-351
765,-363,15324,-921,-299,-343
188,-307,14535,-925,-365,-321
1020,-1036,14332,-917,-287,-381
112,-1339,14846,-933,-289,-319
216,-590,15093,-941,-291,-355
510,510,14806,-957,-349,-381
192,-495,15085,-1005,-343,-383
255,-514,14830,-953,-317,-375
510,96,14790,-933,-303,-331
510,-893,15077,-929,-317,-305
-522,-602,15053,-957,-333,-429
-447,-929,14583,-961,-277,-375
-614,16,14838,-937,-369,-319
510,-698,14300,-945,-431,-341
136,-678,14830,-881,-351,-337
765,-1331,14806,-921,-331,-343
-538,236,14332,-893,-401,-395
108,84,15069,-921,-305,-351
60,255,14535,-917,-325,-307
1020,-726,14806,-965,-323,-363
255,0,14559,-961,-257,-331
255,-415,14798,-985,-331,-351
255,510,14559,-969,-375,-313
255,-1252,14316,-917,-289,-395
255,-885,14551,-993,-351,-319
255,-845,14284,-957,-269,-427
510,510,14535,-985,-299,-349
184,144,14798,-913,-329,-357
188,-674,14316,-1001,-403,-403
1020,-1857,14790,-961,-367,-339
510,255,14798,-953,-347,-379
765,104,14575,-941,-305,-339
510,-1339,14543,-985,-263,-361
255,-443,15053,-933,-337,-393
510,-825,14535,-893,-303,-327
255,-933,15077,-1017,-273,-395
255,-933,15077,-1017,-273,-385
255,-507,15061,-961,-355,-335
510,-889,15101,-945,-267,-387
510,-801,14567,-941,-361,-343
510,-801,14567,-941,-361,-347
510,-750,14575,-977,-325,-311
60,-530,14575,-969,-285,-277
60,-1092,15053,-945,-409,-353
255,-1371,14575,-957,-267,-389
510,-1140,14822,-925,-301,-305
255,-431,15061,-929,-291,-357
255,44,14846,-909,-259,-293
-275,-287,14543,-953,-307,-313
1020,255,15077,-949,-379,-301
168,-1523,14332,-929,-287,-345
255,-742,13802,-909,-331,-335
765,-714,15101,-965,-303,-371
510,76,15069,-933,-341,-361
510,255,14535,-929,-353,-297
255,-530,15045,-909,-359,-389
255,-459,15101,-977,-313,-313
255,172,14822,-929,-393,-363
255,136,14296,-949,-285,-283
765,-809,14830,-917,-319,-313
-570,-530,14814,-965,-353,-331
510,-750,14312,-945,-279,-369
-638,-343,14073,-933,1,-351
255,-662,15045,-993,-355,-341
765,-299,15045,-937,-327,-387
510,255,14591,-977,-279,-331
255,-1132,14830,-897,-389,-325
-447,-1052,14814,-961,41,-385
56,-969,15061,-953,-299,-347
1020,-993,15101,-917,-291,-351
255,255,14806,-901,-269,1
-730,76,14822,-941,-277,-345
-339,-594,14822,-933,-365,-333
255,-1108,14300,-1021,-319,-361
510,-467,15300,-957,-295,-393
36,76,14543,-909,-319,-353
160,-586,14296,-957,-401,-375
-467,-530,14543,-961,-371,-315
1020,255,14328,-1025,-347,-375
-1204,24,15045,-885,-327,-353
255,-1021,14798,-929,-335,-329
255,510,14280,-937,-301,-367
255,176,14838,-849,-277,-377
-379,-1268,14316,-957,-357,-315
510,-1435,15356,-977,-403,-363
255,-339,14814,-929,-301,-335
510,-1068,14798,-977,-335,-395
255,-961,15053,-937,-345,-343
510,-726,14551,-989,-361,-331
-487,-1515,15077,-973,-373,-333
-646,-714,14543,-921,-309,-291
255,-379,14551,-957,-397,-333
765,-766,14551,-921,-301,-341
765,-1076,14798,-973,-285,-363
255,-395,14559,-929,-331,-319
255,-562,14822,-961,-265,-395
765,120,15607,-957,-301,-403
-969,88,15069,-969,-367,-325
255,-447,15308,-945,-317,-315
-475,510,14543,-937,-309,-349
255,-395,15045,-933,-315,-325
510,-606,15101,-917,34,-347
765,-1299,14025,-981,-285,-335
255,255,14057,-889,-283,-365
765,-590,15061,-973,-299,-333
72,-1435,14543,-941,-321,-429
255,-407,15356,-949,-345,-397
510,-411,14846,-989,-347,-331
-447,-845,15093,-961,-275,-319
510,-1204,15300,-941,-369,-369
255,224,14790,-1017,-411,-313
